AGE_CAT,HI_CAT,HS_CAT,RACE_CAT,SEX_CAT,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
1,2,3,2,1,0.14384,0.11706,0.0105,0.59921,0.02081,0.05956,0.0347,0.01432,.,.,0.14384,0.2609,0.2714,0.87061,0.89142,0.95098,0.98568,1,.,.
1,2,3,2,2,0.14694,0.11221,0.01301,0.59464,0.02335,0.06729,0.03161,0.01095,.,.,0.14694,0.25916,0.27217,0.8668,0.89016,0.95744,0.98905,1,.,.
1,2,3,3,1,0.28302,0.06074,0.01237,0.57669,0.00879,0.02853,0.02014,0.00971,.,.,0.28302,0.34376,0.35613,0.93283,0.94161,0.97015,0.99029,1,.,.
1,2,3,3,2,0.2883,0.05806,0.01529,0.57067,0.00983,0.03215,0.0183,0.0074,.,.,0.2883,0.34636,0.36165,0.93232,0.94215,0.9743,0.9926,1,.,.
1,3,1,1,1,0.12012,0.63905,0.07011,0.01758,0,0.0082,0.09691,0.04803,.,.,0.12012,0.75917,0.82928,0.84686,0.84686,0.85506,0.95197,1,.,.
1,3,1,1,2,0.08623,0.66605,0.09424,0.01709,0,0.00686,0.09749,0.03202,.,.,0.08623,0.75229,0.84653,0.86362,0.86362,0.87048,0.96798,1,.,.
1,3,1,2,1,0.22346,0.49766,0.04968,0.05745,0,0.01847,0.10437,0.04891,.,.,0.22346,0.72112,0.7708,0.82825,0.82825,0.84672,0.95109,1,.,.
1,3,1,2,2,0.16801,0.54323,0.06994,0.0585,0,0.01619,0.10997,0.03415,.,.,0.16801,0.71124,0.78118,0.83969,0.83969,0.85588,0.96585,1,.,.
1,3,1,3,1,0.13336,0.51236,0.06284,0.02492,0,0.01123,0.16637,0.08893,.,.,0.13336,0.64572,0.70856,0.73348,0.73348,0.7447,0.91107,1,.,.
1,3,1,3,2,0.09824,0.54799,0.08668,0.02486,0,0.00964,0.17175,0.06084,.,.,0.09824,0.64622,0.7329,0.75776,0.75776,0.7674,0.93916,1,.,.
1,3,2,1,1,0.06497,0.68963,0.10096,0.05232,0.00297,0.01837,0.0403,0.03047,.,.,0.06497,0.7546,0.85556,0.90789,0.91086,0.92924,0.96953,1,.,.
1,3,2,1,2,0.05621,0.70165,0.10039,0.05442,0.00229,0.01536,0.0386,0.03108,.,.,0.05621,0.75786,0.85825,0.91267,0.91497,0.93032,0.96892,1,.,.
1,3,2,2,1,0.12058,0.53654,0.04528,0.1514,0.00401,0.03501,0.0589,0.04828,.,.,0.12058,0.65712,0.7024,0.8538,0.85781,0.89282,0.95172,1,.,.
1,3,2,2,2,0.1053,0.55101,0.04544,0.15895,0.00312,0.02953,0.05694,0.04971,.,.,0.1053,0.6563,0.70174,0.86069,0.86381,0.89335,0.95029,1,.,.
1,3,2,3,1,0.1246,0.5919,0.06552,0.09148,0.00106,0.02853,0.0649,0.03201,.,.,0.1246,0.71651,0.78202,0.8735,0.87456,0.90309,0.96799,1,.,.
1,3,2,3,2,0.10891,0.60843,0.06581,0.09613,0.00083,0.02409,0.06281,0.03299,.,.,0.10891,0.71735,0.78316,0.87929,0.88012,0.9042,0.96701,1,.,.
1,3,3,1,1,0.11849,0.50005,0.07961,0.23013,0.00874,0.01421,0.02827,0.0205,.,.,0.11849,0.61853,0.69814,0.92827,0.93702,0.95123,0.9795,1,.,.
1,3,3,1,2,0.12169,0.48189,0.09918,0.22959,0.00986,0.01614,0.02589,0.01576,.,.,0.12169,0.60358,0.70276,0.93235,0.94221,0.95836,0.98424,1,.,.
1,3,3,2,1,0.12502,0.35125,0.02576,0.39195,0.007,0.03682,0.04123,0.02096,.,.,0.12502,0.47627,0.50204,0.89399,0.90099,0.93781,0.97904,1,.,.
1,3,3,2,2,0.12922,0.34068,0.0323,0.39355,0.00795,0.04209,0.038,0.01621,.,.,0.12922,0.4699,0.5022,0.89575,0.9037,0.94579,0.98379,1,.,.
1,3,3,3,1,0.22966,0.32362,0.05682,0.32106,0.00541,0.01882,0.02204,0.02256,.,.,0.22966,0.55328,0.6101,0.93116,0.93658,0.9554,0.97744,1,.,.
1,3,3,3,2,0.23496,0.31068,0.07052,0.31909,0.00608,0.0213,0.02011,0.01727,.,.,0.23496,0.54564,0.61615,0.93524,0.94133,0.96262,0.98273,1,.,.
2,1,1,1,1,0.48535,0.20188,0.15853,0.04682,0.04404,0.00438,0.03365,0.02535,.,.,0.48535,0.68722,0.84575,0.89258,0.93662,0.941,0.97465,1,.,.
