sex,ageCat,raceCat,HISP,householdIncomeCat_NEW,MARRIED,increase
1,3,2,1,2,1,0.342799617
1,3,2,1,3,0,0.410062282
1,3,2,1,3,1,0.466657909
1,3,2,1,4,0,0.093510704
1,3,2,1,4,1,0.107645996
1,3,2,1,5,0,0.239173568
1,3,2,1,5,1,0.257564818
1,3,3,0,1,0,0.365510307
1,3,3,0,1,1,0.439577579
1,3,3,0,2,0,0.438528934
1,3,3,0,2,1,0.503247561
1,3,3,0,3,0,0.433592386
1,3,3,0,3,1,0.484424932
1,3,3,0,4,0,0.091327001
1,3,3,0,4,1,0.105911048
1,3,3,0,5,0,0.26931233
1,3,3,0,5,1,0.27750651
1,3,3,1,1,0,0.288677204
1,3,3,1,1,1,0.369187028
1,3,3,1,2,0,0.26028538
1,3,3,1,2,1,0.342799617
1,3,3,1,3,0,0.410062282
1,3,3,1,3,1,0.466657909
1,3,3,1,4,0,0.093510704
1,3,3,1,4,1,0.107645996
1,3,3,1,5,0,0.239173568
1,3,3,1,5,1,0.257564818
1,4,1,0,1,0,0.653950185
1,4,1,0,1,1,0.695336516
1,4,1,0,2,0,0.6026163
1,4,1,0,2,1,0.662798697
1,4,1,0,3,0,0.575752969
1,4,1,0,3,1,0.632918069
1,4,1,0,4,0,0.393769215
1,4,1,0,4,1,0.418848492
1,4,1,0,5,0,0.534913743
1,4,1,0,5,1,0.543759513
1,4,1,1,1,0,0.494159327
1,4,1,1,1,1,0.577188087
1,4,1,1,2,0,0.41490956
1,4,1,1,2,1,0.511278473
1,4,1,1,3,0,0.433960952
1,4,1,1,3,1,0.521389727
1,4,1,1,4,0,0.388677359
1,4,1,1,4,1,0.415395284
1,4,1,1,5,0,0.500176597
1,4,1,1,5,1,0.521732569
1,4,2,0,1,0,0.537362863
1,4,2,0,1,1,0.611352007
1,4,2,0,2,0,0.69722401
1,4,2,0,2,1,0.727443491
1,4,2,0,3,0,0.7412517
1,4,2,0,3,1,0.741251752
1,4,2,0,4,0,0.387272522
1,4,2,0,4,1,0.414435215
1,4,2,0,5,0,0.545499319
1,4,2,0,5,1,0.550185343
1,4,2,1,1,0,0.494159327
1,4,2,1,1,1,0.577188087
1,4,2,1,2,0,0.41490956
1,4,2,1,2,1,0.511278473
1,4,2,1,3,0,0.433960952
1,4,2,1,3,1,0.521389727
1,4,2,1,4,0,0.388677359
1,4,2,1,4,1,0.415395284
1,4,2,1,5,0,0.500176597
1,4,2,1,5,1,0.521732569
1,4,3,0,1,0,0.534650269
1,4,3,0,1,1,0.609272407
1,4,3,0,2,0,0.572612086
1,4,3,0,2,1,0.640807129
1,4,3,0,3,0,0.424048632
1,4,3,0,3,1,0.512811235
1,4,3,0,4,0,0.366293365
1,4,3,0,4,1,0.399884156
1,4,3,0,5,0,0.528821123
1,4,3,0,5,1,0.539943258
1,4,3,1,1,0,0.494159327
1,4,3,1,1,1,0.577188087
1,4,3,1,2,0,0.41490956
1,4,3,1,2,1,0.511278473
1,4,3,1,3,0,0.433960952
1,4,3,1,3,1,0.521389727
1,4,3,1,4,0,0.388677359
1,4,3,1,4,1,0.415395284
1,4,3,1,5,0,0.500176597
1,4,3,1,5,1,0.521732569
1,5,1,0,1,0,0.570885434
1,5,1,0,1,1,0.608375182
1,5,1,0,2,0,0.564014427
1,5,1,0,2,1,0.608355622
1,5,1,0,3,0,0.538156767
1,5,1,0,3,1,0.57446535
1,5,1,0,4,0,0.216703857
1,5,1,0,4,1,0.228015642
1,5,1,0,5,0,0.363758389
1,5,1,0,5,1,0.370126706
1,5,1,1,1,0,0.436404386
1,5,1,1,1,1,0.50886993
1,5,1,1,2,0,0.423008346
1,5,1,1,2,1,0.501046986
1,5,1,1,3,0,0.445677263
1,5,1,1,3,1,0.507510911
1,5,1,1,4,0,0.215980142
1,5,1,1,4,1,0.227565503
1,5,1,1,5,0,0.340418782
1,5,1,1,5,1,0.355347167
1,5,2,0,1,0,0.313759354
1,5,2,0,1,1,0.400181401
1,5,2,0,2,0,0.561974249
1,5,2,0,2,1,0.606939199
1,5,2,0,3,0,0.637778543
1,5,2,0,3,1,0
1,5,2,0,4,0,0.17619029
1,5,2,0,4,1,0.199248881
1,5,2,0,5,0,0.358921284
1,5,2,0,5,1,0.367269985
1,5,2,1,1,0,0.436404386
1,5,2,1,1,1,0.50886993
1,5,2,1,2,0,0.423008346
1,5,2,1,2,1,0.501046986
1,5,2,1,3,0,0.445677263
1,5,2,1,3,1,0.507510911
1,5,2,1,4,0,0.215980142
1,5,2,1,4,1,0.227565503
1,5,2,1,5,0,0.340418782
1,5,2,1,5,1,0.355347167
1,5,3,0,1,0,0.53914932
1,5,3,0,1,1,0.586452794
1,5,3,0,2,0,0.598590461
1,5,3,0,2,1,0.631778399
1,5,3,0,3,0,0.503996217
1,5,3,0,3,1,0.55071795
1,5,3,0,4,0,0.221332934
1,5,3,0,4,1,0.230988593
1,5,3,0,5,0,0.368226601
1,5,3,0,5,1,0.372972973
1,5,3,1,1,0,0.436404386
1,5,3,1,1,1,0.50886993
1,5,3,1,2,0,0.423008346
1,5,3,1,2,1,0.501046986
1,5,3,1,3,0,0.445677263
1,5,3,1,3,1,0.507510911
1,5,3,1,4,0,0.215980142
1,5,3,1,4,1,0.227565503
1,5,3,1,5,0,0.340418782
1,5,3,1,5,1,0.355347167
1,6,1,0,1,0,0
1,6,1,0,1,1,0
1,6,1,0,2,0,0
1,6,1,0,2,1,0
1,6,1,0,3,0,0
1,6,1,0,3,1,0
1,6,1,0,4,0,0
1,6,1,0,4,1,0
1,6,1,0,5,0,0
1,6,1,0,5,1,0
1,6,1,1,1,0,0
1,6,1,1,1,1,0
1,6,1,1,2,0,0
1,6,1,1,2,1,0
1,6,1,1,3,0,0
1,6,1,1,3,1,0
1,6,1,1,4,0,0
1,6,1,1,4,1,0
1,6,1,1,5,0,0
1,6,1,1,5,1,0
1,6,2,0,1,0,1
1,6,2,0,1,1,0
1,6,2,0,2,0,1
1,6,2,0,2,1,1
1,6,2,0,3,0,0
1,6,2,0,3,1,1
1,6,2,0,4,0,1
1,6,2,0,4,1,1
1,6,2,0,5,0,1
1,6,2,0,5,1,1
1,6,2,1,1,0,0
1,6,2,1,1,1,0
1,6,2,1,2,0,0
1,6,2,1,2,1,0
1,6,2,1,3,0,0
1,6,2,1,3,1,0
1,6,2,1,4,0,0
1,6,2,1,4,1,0
1,6,2,1,5,0,0
1,6,2,1,5,1,0
1,6,3,0,1,0,0
1,6,3,0,1,1,0
