zip,nearestEndoZip,nearest_distance
97001,97741,28.7026676844404
97002,97071,6.65134654516987
97004,97045,8.13283103620665
97005,97005,1.0
97006,97229,2.55357613165167
97007,97007,1.0
97008,97223,1.91819013578957
97009,97030,6.00571331796563
97010,97030,16.849186793844
97011,97030,22.4473397081267
97013,97068,8.15329169703981
97014,97031,17.3088177769904
97015,97015,1.0
97016,98632,14.8704974565417
97017,97045,14.43397231103
97018,98686,15.0962763853051
97019,97030,9.66994413074914
97020,97071,5.51586086754567
97021,97058,11.3588882650192
97022,97015,10.4670399255093
97023,97045,15.5172871148173
97024,97030,2.46753454242038
97026,97071,3.87025485612849
97027,97045,2.88713506785844
97028,97031,28.1169062529796
97029,97058,26.7302956642986
97030,97030,1.0
97031,97031,1.0
97032,97071,3.40822868992002
97033,97058,39.8152372948739
97034,97068,3.62222788207771
97035,97219,3.22712652873499
97036,97045,19.725163786567
97037,97741,31.3020177627583
97038,97381,12.721421400809
97039,97058,22.2618258343085
97040,97031,6.65094345618589
97041,97031,12.0464481678233
97042,97045,9.28508453364898
97044,97031,2.0321024515997
97045,97045,1.0
97048,98632,7.07662987942291
97049,97030,26.3604222017512
97050,97058,23.1217985088894
97051,98686,14.6152012611154
97053,98686,13.386330484548
97054,98632,14.9488046143276
97055,97030,14.1383620090549
97056,98686,14.5520937384012
97058,97058,1.0
97060,97030,2.48179311053729
97062,97062,1.0
97063,97058,23.0261999617935
97064,98632,22.9888090876842
97065,97058,24.0444205996933
97067,97030,25.9683828758444
97068,97068,1.0
97070,97062,4.55306400263545
97071,97071,1.0
97075,97124,8.16451744061901
97080,97030,2.15692683225466
97086,97086,1.0
97089,97086,3.6649264295683
97101,97128,7.64106751868784
97103,97103,1.0
97106,97124,11.1373970259537
97107,97141,6.49886333260426
97108,97141,13.2386647219944
97109,97124,17.7097218585646
97110,97138,7.34464072305601
97111,97128,5.40907334729533
97112,97141,14.5857976483832
97113,97123,4.82319716146856
97114,97128,6.15025329382763
97115,97132,3.38252722128394
97116,97124,8.92908596222748
97117,97124,16.076550452331
97118,97141,8.72484165123821
97119,97123,10.9723239850556
97121,98624,9.16013059448119
97122,97367,18.7462351291261
