zip,nearestEndoZip,nearest_distance
97336,97327,6.35869285176204
97338,97338,1.0
97339,97370,5.51378671625402
97341,97367,9.26169962026724
97342,97383,33.3838398586289
97343,97365,14.1761017550527
97344,97338,6.76511457678219
97345,97355,15.034433007599
97346,97383,18.0517171285518
97347,97367,18.4160170782162
97348,97327,7.42653081093783
97350,97383,34.4716549967077
97351,97306,6.54983212376519
97352,97321,7.6325137587926
97355,97355,1.0
97357,97365,13.2422420903181
97358,97383,10.9406428469117
97360,97383,14.2594540201893
97361,97338,9.21719751031084
97362,97381,4.47069797618753
97364,97367,3.36722036004844
97365,97365,1.0
97366,97365,5.61727848882982
97367,97367,1.0
97368,97367,6.18561335990107
97369,97365,7.5972352346163
97370,97370,1.0
97371,97304,6.19746494569608
97373,97381,15.8425450429418
97374,97383,7.15523293348485
97375,97381,8.96718536198729
97376,97365,9.92559563420512
97377,97327,8.47846374115184
97378,97338,12.1991450622935
97380,97365,9.22678793927835
97381,97381,1.0
97383,97383,1.0
97385,97383,3.59029703481532
97386,97355,11.2491278324606
97388,97367,4.57093099419538
97389,97322,6.02687637316404
97390,97439,24.1876760725675
97391,97365,6.82654986664016
97392,97306,6.23214276842513
97394,97365,15.5469774800287
97396,97128,14.7170302632401
97401,97401,1.0
97402,97402,1.0
97403,97401,2.04894899695843
97404,97404,1.0
97405,97401,4.36599756586562
97407,97423,5.33250762207027
97408,97408,1.0
97409,97402,6.66084156162183
97410,97417,11.2945600327159
97411,97411,1.0
97412,97402,20.5488586713784
97413,97759,31.174158367219
97415,97415,1.0
97416,97471,16.512344183196
97417,97417,1.0
97419,97404,13.5717570690612
97420,97420,1.0
97423,97423,1.0
97424,97401,20.0182455296427
97425,97702,48.8758345197093
97426,97477,10.3503106214611
97429,97417,9.95648724618232
97430,97439,21.7458575471929
97431,97478,13.0567569544306
97432,97471,9.28109422428047
97434,97478,22.8190066985176
97435,97402,26.4170328589797
97436,97467,20.9266467628177
97437,97402,11.2150979115384
97438,97478,10.7692337364429
97439,97439,1.0
97440,97477,13.659256414458
97441,97467,7.83948929153147
97442,97417,13.1005720550844
97443,97471,22.4881408477227
97444,97444,1.0
97446,97327,10.6720788134181
97447,97471,35.555543961038
97448,97404,8.48750369303077
97449,97467,10.4985807076219
97450,97411,13.7854427922421
97451,97402,18.4750834788178
97452,97478,17.3102853329816
97453,97439,10.5005109284028
97454,97478,11.6939716900073
97455,97478,7.61610985579105
97456,97370,17.331943784766
97457,97417,7.5412805054634
97458,97458,1.0
97459,97420,5.33259889573149
97461,97402,14.8492542401267
97462,97471,15.1690967522265
97463,97478,32.0044480128209
97464,97444,20.8634864882867
97465,97444,20.8656182730322
97466,97458,14.015175587645
97467,97467,1.0
97469,97417,7.28689031622664
97470,97471,6.53432690518446
97471,97471,1.0
97473,97467,9.48424909653332
97476,97411,20.8603574712865
97477,97477,1.0
97478,97478,1.0
97479,97471,15.0624254104997
97480,97439,14.7655939852371
97481,97471,10.508411501941
97484,97417,18.6018527599118
97486,97471,10.2544791814694
97487,97402,11.0594248763487
97488,97478,24.2193763492247
97489,97478,14.0607329853222
97490,97439,22.4164229011364
97491,97444,10.9211820270958
97492,97478,29.085941000739
97493,97439,7.4573502498631
97494,97471,9.58528521366297
97495,97471,10.0855544647099
97496,97471,10.2805756710437
97497,97537,13.4839339117573
97498,97439,21.9653498114753
97499,97471,26.7009962635244
97501,97501,1.0
97502,97502,1.0
97503,97502,6.36303828833981
97504,97504,1.0
97520,97520,1.0
97522,97504,19.9583218678225
97523,97527,22.0554326868017
97524,97502,11.4118933328091
97525,97537,7.40747070281823
97526,97526,1.0
97527,97527,1.0
97528,97527,8.82894622437809
97530,97501,10.457263569906
97531,97527,20.2463037911475
97532,97526,10.5058491959287
97533,97527,6.9479938714428
97534,97415,29.3606540861172
97535,97535,1.0
97536,97502,34.1300526772467
97537,97537,1.0
97538,97527,13.8102055436139
97539,97502,16.4953359278301
97540,97540,1.0
97541,97537,23.9328100738143
97543,97527,7.95207085119332
97544,97527,17.5716415335155
97601,97601,1.0
97602,97601,39.1970238034161
97603,97601,12.1372699750012
97620,97630,27.8656171558741
97621,97601,35.972474786416
97622,97630,29.7183312226873
97623,97601,28.7222957325332
97624,97601,22.6855202170871
97625,97601,16.9138171598265
97627,97601,14.3871508798419
97630,97630,1.0
97632,97601,29.7758557862143
97633,97601,23.5216320936309
97634,97601,11.0765731636721
97636,97630,34.7580646143927
97637,97630,37.1602292964774
97638,97702,59.4090342778699
97639,97601,25.4375094198745
97640,97630,55.5428207112189
97641,97702,62.1858073370678
97701,97701,1.0
97702,97702,1.0
97707,97702,14.2542381350491
97708,97702,17.9064033910009
97709,97702,17.9064033910009
97711,97741,19.5111923595638
97720,97720,1.0
97721,97720,42.6749453538854
97722,97720,46.1111191974497
97730,97759,11.1035661636712
97731,97601,62.6989309775
97732,97720,28.556168204606
97733,97702,45.4260421556892
97734,97741,10.7128458780516
97735,97702,49.8878463691432
97736,97720,60.5373138685417
97738,97720,15.2494036824351
97739,97702,25.4049378056531
97741,97741,1.0
97750,97754,40.9200000229534
97751,97845,46.4129196966362
97753,97756,8.20076918971931
97754,97754,1.0
97756,97756,1.0
97759,97759,1.0
97760,97756,7.7107520504885
97761,97741,15.4419813900353
97801,97801,1.0
97810,97862,15.8511813711803
97812,97836,34.7376856041301
97813,97862,10.4043068829647
97814,97814,1.0
97818,97838,23.1119407905078
97820,97845,5.05253560364221
97823,97836,31.661542449069
97824,97850,11.8972344093418
97825,97845,29.5179958840874
97826,97838,9.11896359538803
97827,97850,19.0745795274263
97828,97828,1.0
97830,97836,38.9757153756192
97833,97814,12.1717687288754
97834,97846,28.8389716104226
97835,97801,14.0825034440755
97836,97836,1.0
97838,97838,1.0
97839,97836,12.7390997698898
97841,97850,11.142217262611
97842,97846,20.9042698389543
97843,97836,19.1326400472328
97844,97838,11.5533441011575
97845,97845,1.0
97846,97846,1.0
97850,97850,1.0
97856,97845,24.5668854448247
97857,97828,10.178242543843
97862,97862,1.0
97864,97845,36.0273776203109
97865,97845,9.72329364501728
97867,97814,18.8060709107144
97868,97801,18.191577966818
97869,97845,12.9278130111138
97870,97814,29.5575516897724
97873,97845,18.7336359454327
97874,97836,43.9048380165178
97875,97838,5.44943052181729
97876,97850,14.169079607842
97877,97814,20.0445475064271
97880,97836,34.0380595540177
97882,97838,5.28771494792093
97883,97850,14.942169951656
97885,97828,12.5830299820322
97886,97862,10.2762747291687
97901,97913,17.8817778652001
97903,97914,32.7498243934578
97904,97720,29.3097559342498
97905,97814,22.2451246821472
97906,97913,29.9953548342544
97907,83672,19.8337937643905
97908,97814,34.3454102691054
97909,97914,25.3216636250591
97910,83686,56.1318866890963
97911,97720,45.2752796622038
97913,97913,1.0
97914,97914,1.0
97918,97914,17.061275139265
97003,99999,3.1416
97057,99999,314.16
97078,99999,314.16
97102,99999,314.16
97144,99999,314.16
97310,99999,314.16
97331,99999,314.16
97406,99999,314.16
97414,99999,314.16
97635,99999,314.16
97710,99999,314.16
97712,99999,314.16
97737,99999,314.16
97752,99999,314.16
97758,99999,314.16
97837,99999,314.16
97840,99999,314.16
97848,99999,314.16
97884,99999,314.16
97917,99999,314.16
97920,99999,314.16
