ZipCode,Name,ServiceArea,County,Desig,Frontier,Desig_NEW
97238,Portland PO,Albina,MULTNOMAH,Urban,,Urban
97239,Portland,Portland Downtown,MULTNOMAH,Urban,,Urban
97240,Portland PO,Portland Downtown,MULTNOMAH,Urban,,Urban
97242,Portland PO,Portland Inner S.,MULTNOMAH,Urban,,Urban
97256,Portland,Portland Downtown,MULTNOMAH,Urban,,Urban
97258,Portland,Portland Downtown,MULTNOMAH,Urban,,Urban
97266,Portland,Portland Outer S.,MULTNOMAH,Urban,,Urban
97268,Portland PO,Milwaukie,MULTNOMAH,Urban,,Urban
97269,Milwaukie PO,Milwaukie,MULTNOMAH,Urban,,Urban
97280,Portland PO,Portland West,MULTNOMAH,Urban,,Urban
97281,Tigard PO,Tigard,MULTNOMAH,Urban,,Urban
97282,Portland PO,Portland Inner S.,MULTNOMAH,Urban,,Urban
97283,Portland PO,St. Johns,MULTNOMAH,Urban,,Urban
97286,Portland PO,Portland Middle S.,MULTNOMAH,Urban,,Urban
97290,Portland PO,Albina,MULTNOMAH,Urban,,Urban
97291,Portland PO,Portland Downtown,MULTNOMAH,Urban,,Urban
97292,Portland PO,Albina,MULTNOMAH,Urban,,Urban
97293,Portland PO,Portland Inner S.,MULTNOMAH,Urban,,Urban
97294,Portland PO,Portland Middle S.,MULTNOMAH,Urban,,Urban
97296,Portland PO,Portland Downtown,MULTNOMAH,Urban,,Urban
97298,Portland PO,Portland West,MULTNOMAH,Urban,,Urban
