sex,ageCat,raceCat,HISP,householdIncomeCat_NEW,MARRIED,increase
1,1,1,0,1,1,0
1,1,1,0,1,0,0.087772994
1,1,1,0,2,1,0
1,1,1,0,2,0,0.121741963
1,1,1,0,3,1,0.038580213
1,1,1,0,3,0,0.014885799
1,1,1,0,4,1,0
1,1,1,0,4,0,0
1,1,1,0,5,1,0
1,1,1,0,5,0,0.120450738
1,1,2,0,1,1,0
1,1,2,0,1,0,0
1,1,2,0,2,1,0
1,1,2,0,2,0,0
1,1,2,0,3,1,0
1,1,2,0,3,0,0
1,1,2,0,4,1,0
1,1,2,0,4,0,0
1,1,2,0,5,1,0
1,1,2,0,5,0,0
1,1,3,0,1,1,0.702215239
1,1,3,0,1,0,0
1,1,3,0,2,1,0.038986935
1,1,3,0,2,0,0.154000477
1,1,3,0,3,1,0
1,1,3,0,3,0,0
1,1,3,0,4,1,0
1,1,3,0,4,0,0
1,1,3,0,5,1,0
1,1,3,0,5,0,0.163892313
1,1,1,1,1,1,0
1,1,1,1,1,0,0.017908503
1,1,1,1,2,1,0
1,1,1,1,2,0,0
1,1,1,1,3,1,0
1,1,1,1,3,0,0
1,1,1,1,4,1,0
1,1,1,1,4,0,0
1,1,1,1,5,1,0
1,1,1,1,5,0,0
1,1,2,1,1,1,0
1,1,2,1,1,0,0.017908503
1,1,2,1,2,1,0
1,1,2,1,2,0,0
1,1,2,1,3,1,0
1,1,2,1,3,0,0
1,1,2,1,4,1,0
1,1,2,1,4,0,0
1,1,2,1,5,1,0
1,1,2,1,5,0,0
1,1,3,1,1,1,0
1,1,3,1,1,0,0.017908503
1,1,3,1,2,1,0
1,1,3,1,2,0,0
1,1,3,1,3,1,0
1,1,3,1,3,0,0
1,1,3,1,4,1,0
1,1,3,1,4,0,0
1,1,3,1,5,1,0
1,1,3,1,5,0,0
1,2,1,0,1,1,0.036793712
1,2,1,0,1,0,0.116590383
1,2,1,0,2,1,0.063789109
1,2,1,0,2,0,0.151350588
1,2,1,0,3,1,0.120287409
1,2,1,0,3,0,0.092718768
1,2,1,0,4,1,0
1,2,1,0,4,0,0
1,2,1,0,5,1,0
1,2,1,0,5,0,0.195200308
1,2,2,0,1,1,0
1,2,2,0,1,0,0
1,2,2,0,2,1,0
1,2,2,0,2,0,0
1,2,2,0,3,1,0
1,2,2,0,3,0,0
1,2,2,0,4,1,0
1,2,2,0,4,0,0
1,2,2,0,5,1,0
1,2,2,0,5,0,0.071914251
1,2,3,0,1,1,0
1,2,3,0,1,0,0
1,2,3,0,2,1,0
1,2,3,0,2,0,0
1,2,3,0,3,1,0
1,2,3,0,3,0,0
1,2,3,0,4,1,0
1,2,3,0,4,0,0
1,2,3,0,5,1,0
